编程语言,数字媒体,算法技术,开发框架,工作端及软硬件,技术栈,工作系统构架,维护及管理技能,工具包,开发技能,测试技术,管理能力,设计技术,其它
Python,Streaming,自然语言处理,Spring,PC端,HTML/CSS,HDFS,运维监控,Hive,产品开发,接口测试,工程管理,平面设计,网络自动化
PHP,图片,推荐算法,Hadoop,前端开发,多进程,IOS,数据库运维,SKetch,MVC开发,渗透测试,项目主管,视觉设计,测试工程师
Java,专业拍摄,算法设计,vue,网络设备,驱动开发,Linux,IDC维护,flutter,FPGA开发,功能测试,产品咨询,插画设计,安全设备
C语言,文案,回归分析,MapReduce,Tornado,网络爬虫技术,sas,CCNP证书,Excel,单片机开发,性能测试,项目管理,插画制作,网络规划设计
Kotlin,短视频运营,数据分析,Flask,示波器,Shell,Flume,CCNA证书,PhotoShop,ARM开发,软件测试,CTO,交互体验设计,动效设计
GO,自媒体运营,数据结构,Struts,万用表,嵌入式技术,ETL,运维管理,Storm,Layout设计,系统测试,软件实施,手绘,设计师
网络编程,公众号/朋友圈运营,大数据,Scrapy,网络协议栈,电路设计,Flink,技术管理,TensorFlow,测试开发,黑盒测试,技术支持,美工,软件工程师
TypeScript,后期剪辑,人工智能,Hbase,Web前端,Socket技术,Presto,CCIE证书,Altium,ES6,代码审计,项目经理,网页设计,消息队列
Scala,策划热点事件,搜索算法,Qt,小程序,PCB设计,MFC,安全运维,Postman,UI设计,白盒测试,相关分析,,网络安全
Swift,新媒体,游戏引擎,微服务架构,STM32,MySQL,数据仓库,信息安全,PowerDesigner,嵌入式软件开发,需求采集,PMP,,架构师
Objective-C,原创撰稿,AI,Spark,UIpath,分布式技术,服务器配置,应用运维,CorelDRAW,WEB开发,故障排查,项目实施,,生物工程
c++,,视觉图像算法,React,器件选型,容器技术,kafka,自动化运维,Pytorch,后端开发,故障处理,售后支持,,
,,深度学习算法,Dubbo,Redis,AEB,zabbix,集群运维,Jmeter,运维开发,自动化测试,商业分析,,
,,CNN,Hibernate,传感器,负载均衡技术,,系统运维,Cadence,单板开发,产品内部评审,,,
,,数据挖掘,JQuery,Android,数据安全,,网络运维,SPSS,全栈开发,系统调试,产品验收,,
,,,,移动端,网络交换技术,,,Tableau,,压力测试,,,
,,,,,NoSQL,,,K8S,,,,,
,,,,,多线程,,,Dreamweaver,,,,,
,,,,,,,,Kettle,,,,,
